Name, Enterprise, Country, level, research-words, Key-words, date, Link
Développeur(euse) C++,CELAD,França, junior, C++, C++/Agile/real-time software/image processing/Windows/Cross-compilation/VxWorks/Multithreading/semaphores/Telnet,24/08/22, https://www.linkedin.com/jobs/view/3232339916/?alternateChannel=search&refId=GhqZpXlG1lZoWkzmnhqzRw%3D%3D&trackingId=elD7m67yRFN97Hmp1LPCTw%3D%3D&trk=d_flagship3_search_srp_jobs&lipi=urn%3Ali%3Apage%3Ad_flagship3_search_srp_jobs%3BfTogQd7PTfCH0hDoztfQgw%3D%3D
Jr. C++ Engineer,Align Technology, Espanha, junior, C++, C++/ Python/ unit tests/ Continuous Integration/ OOP/ data structures/algorithms/bug tracking/MFC/Docker/ Amazon Cloud: ECS/EKS/Redshift SQL, 25/08/22, https://www.linkedin.com/jobs/view/3184767465/?alternateChannel=search&refId=%2BORLi6oruOIDe27AHNFDbQ%3D%3D&trackingId=isNDY7iXK1J6EDKKXQxlZA%3D%3D&trk=d_flagship3_search_srp_jobs&lipi=urn%3Ali%3Apage%3Ad_flagship3_search_srp_jobs%3BlDVY%2BeGCT7G2QFqp1TGbOw%3D%3D&lici=isNDY7iXK1J6EDKKXQxlZA%3D%3D
C++ Developer (Hybrid model), ERNI, Espanha, junior, C++, RTOS/ C++/ Realtime Embedded Systems/ OO Design/ UML/ Safety Critical/  software architectures, 25/08/22, https://www.linkedin.com/jobs/view/1534587507/?alternateChannel=search&refId=psm7%2FcSvciidricpBhL3cw%3D%3D&trackingId=5mEvpVIW4cv4yBO0X77Lfw%3D%3D&trk=d_flagship3_search_srp_jobs&lipi=urn%3Ali%3Apage%3Ad_flagship3_search_srp_jobs%3BlDVY%2BeGCT7G2QFqp1TGbOw%3D%3D&lici=5mEvpVIW4cv4yBO0X77Lfw%3D%3D
C++ Backend Developer (m/f/d) in High-Tech Start-Up, Visplore, Austria, junior, C++, C++/ data visualization/ data science/ Object-Oriented Design/ Python/ asynchronous programming/ algorithm/ Time-series data, 07/09/22, https://www.linkedin.com/jobs/view/3224112916/?alternateChannel=search&refId=8CxjezYMIImkMvP%2FLWeSdQ%3D%3D&trackingId=bDe8nmMrxhAj2bWd76e9UA%3D%3D&trk=d_flagship3_search_srp_jobs&lipi=urn%3Ali%3Apage%3Ad_flagship3_search_srp_jobs%3BuXAUlXR1RO6p%2BlrvF5IkNQ%3D%3D&lici=bDe8nmMrxhAj2bWd76e9UA%3D%3D
Concepteur logiciel C# / C++, Matrox Video, Canada, assistent, C++, design video solutions/ low-level drivers/ user interface/ unit tests and integration tests/ video streaming protocols/ agile/ linux embedded systems, 05/09/22, https://www.linkedin.com/jobs/view/3227129265/?alternateChannel=search&refId=iToyPnMs7n5WBa%2BfGAQeCw%3D%3D&trackingId=mp3MGt9pPXbkNOR9a8m7GQ%3D%3D&trk=d_flagship3_search_srp_jobs&lipi=urn%3Ali%3Apage%3Ad_flagship3_search_srp_jobs%3BEd7Ng%2BlsTW69FMP%2BSLUAig%3D%3D
Silicon Validation Co-op, Intel, Canada, assistent, C++, Embedded systems/ RISC-V/ ARM/ Python/ C/ Synopsys/ ZeBu/ PCIe/ CXL/ Ethernet/ DRAM/ IP designs, 06/09/22, https://www.linkedin.com/jobs/view/3254073420/?alternateChannel=search&refId=f1CNjqtNQgT%2FDvP5CWWu5w%3D%3D&trackingId=2YwL0JZOFHm7pR3U6adqyA%3D%3D&trk=d_flagship3_search_srp_jobs&lipi=urn%3Ali%3Apage%3Ad_flagship3_search_srp_jobs%3BY0jzxNDNTPWXnqHsCP9i0w%3D%3D&lici=2YwL0JZOFHm7pR3U6adqyA%3D%3D
C++ Software Engineer, Actalent, Canada, assistent, C++, network protocol/ vehicle connectivity/ C++/ FMV4/ ethernet/ Networking/ Firmware/ Rtos/ linux/ ipv4/ multihome/ AutoSAR, 06/09/22, https://www.linkedin.com/jobs/view/3256627326/?alternateChannel=search&refId=f1CNjqtNQgT%2FDvP5CWWu5w%3D%3D&trackingId=63txZiKGUQFVwegX%2Fsoi6Q%3D%3D&trk=d_flagship3_search_srp_jobs&lipi=urn%3Ali%3Apage%3Ad_flagship3_search_srp_jobs%3BY0jzxNDNTPWXnqHsCP9i0w%3D%3D&lici=63txZiKGUQFVwegX%2Fsoi6Q%3D%3D
C++ Developer, Cortex, Canada, assistent, C++, software solutions to meet business specifications/ unit/ Financial markets/ High performance software/ Concurrent computing/ Linux, 22/09/22, https://www.linkedin.com/jobs/view/3250411799/?alternateChannel=search&refId=scfLjpZfgNfdWjQCG5Nw9g%3D%3D&trackingId=n%2FX2F7EAf3ZBdXDnIni%2BcQ%3D%3D&trk=d_flagship3_search_srp_jobs&lipi=urn%3Ali%3Apage%3Ad_flagship3_search_srp_jobs%3BY0jzxNDNTPWXnqHsCP9i0w%3D%3D&lici=n%2FX2F7EAf3ZBdXDnIni%2BcQ%3D%3D
Embedded Software Developer, Siemens, Canada, junior, C++, Linux/ Makefiles/ GNU/ Shell/ open-source projects/ TCP/UDP/IP/ socket programming/ ARM32/ Yocto/ bootloaders, 06/09/22, https://www.linkedin.com/jobs/view/3244987537/?alternateChannel=search&refId=D6smRCU%2BKL68Tu39sf5bFQ%3D%3D&trackingId=vws9CG%2FpLjr8%2BMqFrNrunw%3D%3D&trk=d_flagship3_search_srp_jobs&lipi=urn%3Ali%3Apage%3Ad_flagship3_search_srp_jobs%3BY0jzxNDNTPWXnqHsCP9i0w%3D%3D&lici=vws9CG%2FpLjr8%2BMqFrNrunw%3D%3D
x Application Engineer - Power Electronics and Electric Motor Focus (m/f/d), AVL Deutchland, Alemanha, assistent, electric motor, powertrains/  E-Axles/ E-Motor/Inverter/  programming or testing of inverter drives for AC and DC motors/ fundamentals in automotive system/ power generation and energy storage/ test development and scripting exposure with software or any software application, 12/09/22, https://www.linkedin.com/jobs/view/3223962599/?alternateChannel=search&refId=rU05bDvOfxXwhxS3KZVADQ%3D%3D&trackingId=kPXDsgqXtDYgFR8PZDNXmg%3D%3D&trk=d_flagship3_search_srp_jobs&lipi=urn%3Ali%3Apage%3Ad_flagship3_search_srp_jobs%3BRJX94Ep1TpitAkKYoL%2FZ6g%3D%3D&lici=kPXDsgqXtDYgFR8PZDNXmg%3D%3D
Development Engineer - Electric Motor Development (m/f/d), Hilti Deutschland AG, Alemanha, assistent, electric motor, development of electric motors/  electromagnetic and thermal design/ production-oriented electric motors/ modeling/ control of electrical machinery/  materials science/ Maxwell/  Flux/ JMag/ Matlab/ Simulink/ FEMM/ Sound knowledge of common control methods, 12/09/22, https://www.linkedin.com/jobs/view/3239914703/?alternateChannel=search&refId=rU05bDvOfxXwhxS3KZVADQ%3D%3D&trackingId=blu0ewuUoE8trzXTLGSFIg%3D%3D&trk=d_flagship3_search_srp_jobs&lipi=urn%3Ali%3Apage%3Ad_flagship3_search_srp_jobs%3BRJX94Ep1TpitAkKYoL%2FZ6g%3D%3D&lici=blu0ewuUoE8trzXTLGSFIg%3D%3D
Software Engineer - Motor Control, Lilium, Alemanha, junior, electric motor, Motor Control Engineer/ model/ design/ implement/ test and benchmark the motor controls/ electric motor drives/ Specify/ design/ and develop algorithms/ Design and implement motor controller/ servo control/  Agile Scrum/  MATLAB and Simulink/ including model development/ AC electric motors and drive systems analysis/ modeling and control/ current and speed control loops/ laboratory equipment/ Fixed-point development for timing critical embedded systems/ VHDL/  Embedded C/ PWM schemes/ sensorless motor control algorithms/ high-speed control, 12/09/22, https://www.linkedin.com/jobs/view/3243276340/?alternateChannel=search&refId=rU05bDvOfxXwhxS3KZVADQ%3D%3D&trackingId=79EOlTQ3AFwCQhiyYIiSkg%3D%3D&trk=d_flagship3_search_srp_jobs&lipi=urn%3Ali%3Apage%3Ad_flagship3_search_srp_jobs%3BRJX94Ep1TpitAkKYoL%2FZ6g%3D%3D&lici=79EOlTQ3AFwCQhiyYIiSkg%3D%3D
Ingénieur Validation HIL, Bertrandt Group, França, assistent, electric motor, HIL/ ADAS/ test scenarios on a HIL bench/ HIL validation in the automotive industry/ Matlab/ Simulik/ Stateflow / DDT2000 / Vector Canoe / Lautherbach/ GitLab / Jira/ Python, 14/09/22, https://www.linkedin.com/jobs/view/3255100373/?alternateChannel=search&refId=VkDyn3RQCY8eEIZz2Pe6eQ%3D%3D&trackingId=nqMMWPYdZKWR3kqoDm%2BtHQ%3D%3D&trk=d_flagship3_search_srp_jobs&lipi=urn%3Ali%3Apage%3Ad_flagship3_search_srp_jobs%3BcJGBlsHrQwGHQs5eLV65sQ%3D%3D&lici=nqMMWPYdZKWR3kqoDm%2BtHQ%3D%3D
Entwickler Firmware / Embedded Software, WIKA, Alemanha, junior, firmware, C/C++ firmware/ technical documentation/ code review of software modules/ programming microcontrollers C/ OO programming C++/ embedded systems/ cloud applications/ software testing/ black and white box testing/ unit testing/ static code analysis/ 23/08/22, https://www.linkedin.com/jobs/view/3226996968/?alternateChannel=search&refId=jcF3V46PAaNz9Z5jpgjKKQ%3D%3D&trackingId=nioly64TmQ%2FNMtl1Xrts5g%3D%3D&trk=d_flagship3_search_srp_jobs&lipi=urn%3Ali%3Apage%3Ad_flagship3_search_srp_jobs%3BQskujWOoR%2Bi4U%2Fm%2BqnOvqA%3D%3D
Software Developer Engineer / Linux, TE Connectivity, Alemanha , junior, firmware, software for sensor systems/ embedded firmware/ design algorithms/Troubleshooting/technical documentation/interface product-internal departments/ C/C++/C#/ RTOS/ Linux/HAL/ Low level hardware access/ drivers/ communication interfaces and protocols/ codeBeamer ALM/ software qualification, 23/08/22, https://www.linkedin.com/jobs/view/3231991584/?alternateChannel=search&refId=jcF3V46PAaNz9Z5jpgjKKQ%3D%3D&trackingId=2okNM8j1qRMHpKFjIH0myg%3D%3D&trk=d_flagship3_search_srp_jobs&lipi=urn%3Ali%3Apage%3Ad_flagship3_search_srp_jobs%3BQskujWOoR%2Bi4U%2Fm%2BqnOvqA%3D%3D
Embedded Software Developer Industrial PC, Siemens, Alemanha, junior, firmware, firmware modules/UEFI BIOS/C/C++/C#/Linux/documentation/ device drivers/ PC hardware/Windows, 23/08/22, https://www.linkedin.com/jobs/view/3229531008/?alternateChannel=search&refId=jcF3V46PAaNz9Z5jpgjKKQ%3D%3D&trackingId=sbP5QXynsO1Hpd%2Bj%2FO0Jyg%3D%3D&trk=d_flagship3_search_srp_jobs&lipi=urn%3Ali%3Apage%3Ad_flagship3_search_srp_jobs%3BQskujWOoR%2Bi4U%2Fm%2BqnOvqA%3D%3D
Developer for Embedded Android and Linux, Bosh, Alemanha, junior, firmware, embedded software/firmware / android-based IP-cameras/ smart video systems/ programming for embedded systems/ C/C++/C#/JavaScript/ IP technologies/ Android OS kernel/ Agile, 23/08/22, https://www.linkedin.com/jobs/view/3218213872/?alternateChannel=search&refId=jcF3V46PAaNz9Z5jpgjKKQ%3D%3D&trackingId=r1KlyRSsi8N%2B5%2Bfihv%2BvEw%3D%3D&trk=d_flagship3_search_srp_jobs&lipi=urn%3Ali%3Apage%3Ad_flagship3_search_srp_jobs%3BQskujWOoR%2Bi4U%2Fm%2BqnOvqA%3D%3D&lici=r1KlyRSsi8N%2B5%2Bfihv%2BvEw%3D%3D
Embedded Engineer,Siemens, Alemanha, junior, firmware, embedded software/OT IT gateway/tests/firmware components/firmware architecture/C/C++/low-code/scripting languages/Communication protocols in the IT and OT (MQTT-OPC-UA)/cloud systems, 23/08/22, https://www.linkedin.com/jobs/view/3206265636/?alternateChannel=search&refId=jcF3V46PAaNz9Z5jpgjKKQ%3D%3D&trackingId=T4Xu95KAL%2BZUN2FHg1uVNQ%3D%3D&trk=d_flagship3_search_srp_jobs&lipi=urn%3Ali%3Apage%3Ad_flagship3_search_srp_jobs%3BQskujWOoR%2Bi4U%2Fm%2BqnOvqA%3D%3D&lici=T4Xu95KAL%2BZUN2FHg1uVNQ%3D%3D
Embedded Software Entwickler,Siemens, Alemanha, junior, firmware, microcontroller software and firmware in C/ software architectures/ runtime optimization/analogue/digital circuit technology/ASPICE,23/08/22, https://www.linkedin.com/jobs/view/3200183163/?alternateChannel=search&refId=jcF3V46PAaNz9Z5jpgjKKQ%3D%3D&trackingId=vs3H2eyo9Rj3v0sUcrNU9w%3D%3D&trk=d_flagship3_search_srp_jobs&lipi=urn%3Ali%3Apage%3Ad_flagship3_search_srp_jobs%3BQskujWOoR%2Bi4U%2Fm%2BqnOvqA%3D%3D&lici=vs3H2eyo9Rj3v0sUcrNU9w%3D%3D
Hardwareentwickler Elektronik,Brunel, Alemanha, junior, firmware, agile/firmware/designs for digital and analogue electronic assemblies/designing analog and digital circuits/ Altium/hardware and microcontroller controlled elements/microprocessor/ C++,23/08/22, https://www.linkedin.com/jobs/view/3234403644/?alternateChannel=search&refId=jcF3V46PAaNz9Z5jpgjKKQ%3D%3D&trackingId=zyht0V7xGzGZHwGxi6ECMg%3D%3D&trk=d_flagship3_search_srp_jobs&lipi=urn%3Ali%3Apage%3Ad_flagship3_search_srp_jobs%3BQskujWOoR%2Bi4U%2Fm%2BqnOvqA%3D%3D
Firmware und Elektronikentwickler,Hexagon Manufacturing Intelligence, Alemanha, junior, firmware, documentation/testing of firmware/agile/Cypress/debug existing code/review circuit diagrams and circuit board layouts using the dual control principle/C/reading and evaluating circuit diagrams and circuit board layouts/Cypress PSoC Creator, 23/08/22, https://www.linkedin.com/jobs/view/2983447355/?alternateChannel=search&refId=jcF3V46PAaNz9Z5jpgjKKQ%3D%3D&trackingId=rBsGIvNQvPsW%2FxHH9USa8Q%3D%3D&trk=d_flagship3_search_srp_jobs&lipi=urn%3Ali%3Apage%3Ad_flagship3_search_srp_jobs%3BQskujWOoR%2Bi4U%2Fm%2BqnOvqA%3D%3D
Ingénieur R&D - électronique embarquée, The Miller Group, França, assistent, firmware, C/ C++/ OS (FreeRTOS/ Linux)/ QT/ Azure DevOps/ Design and manufacture prototypes, 13/09/22, https://www.linkedin.com/jobs/view/3247834648/?alternateChannel=search&refId=%2FrE1SOQzp3EFnbmwiKyNsg%3D%3D&trackingId=a7XjwOIeGwQ%2FZe%2FtflLtbQ%3D%3D&trk=d_flagship3_search_srp_jobs&lipi=urn%3Ali%3Apage%3Ad_flagship3_search_srp_jobs%3BE7EZ9G4xTxqmuhbHHa5zpA%3D%3D&lici=a7XjwOIeGwQ%2FZe%2FtflLtbQ%3D%3D  
Design Engineer (High Speed IO),Microchip Technology Inc, França, assistent, firmware, SoC and ASIC applications/ optimize power/ Design and layout of I/O circuit/ impedance calibration system, 13/09/22, https://www.linkedin.com/jobs/view/3123910588/?alternateChannel=search&refId=a%2BYZxkeDwuE3MvIQzu1Kfw%3D%3D&trackingId=%2BFJQiMJxxSMAmJM86cUM4w%3D%3D&trk=d_flagship3_search_srp_jobs&lipi=urn%3Ali%3Apage%3Ad_flagship3_search_srp_jobs%3BnrHPyfbMTS2yiqQGfArDFA%3D%3D
Development engineer thermal management inverter e-drive, Mane Contract Services, Alemanha, assistent, inverter, powertrain/cost-efficient heat dissipation/3D simulations of heat flows/component temperatures/thermal network models/electric vehicle drives/inverters/physical modeling of electronic components/simulating load cycles,26/08/22, https://www.linkedin.com/jobs/view/3212341035/?alternateChannel=search&refId=5SugNzf%2FoqjWd2afJgFjJA%3D%3D&trackingId=urDkVgr5LKy75fNAv4orHw%3D%3D&trk=d_flagship3_search_srp_jobs&lipi=urn%3Ali%3Apage%3Ad_flagship3_search_srp_jobs%3Bjej1pOC9TOWoejOSf5Xo0g%3D%3D&lici=urDkVgr5LKy75fNAv4orHw%3D%3D
Control Engineer (m/f/d) Power Electronics, Viessmann, Alemanha, assistent, inverter, model-based development of controls/heat pump systems/ PV Storage/ algorithms for the control/ design and test specifications/modeling/ simulation/ analytical design/ robust control/ controls for power electronic/ Matlab/Simulink/ control engineering/ digital signal processing/ PV/ battery/ C/  automatic code generation as well as in the application of Simulink Test and Requirement, 27/08/22, https://www.linkedin.com/jobs/view/3217156867/?alternateChannel=search&refId=h3A5O%2FjIKNZPhcC%2FlOH12A%3D%3D&trackingId=e6C%2F5EbRXjOwQE%2FYY6k0bQ%3D%3D&trk=d_flagship3_search_srp_jobs&lipi=urn%3Ali%3Apage%3Ad_flagship3_search_srp_jobs%3BQIkBtn8oQzSm65Jj9n8FtA%3D%3D&lici=e6C%2F5EbRXjOwQE%2FYY6k0bQ%3D%3D
Application Engineer - Power Electronics and Electric Motor Focus (m/f/d), AVL Deutschland GmbH, Alemanha, assistent, inverter, powertrains/ E-Axles/ SW & HW tools/ data measurement results/ programming or testing of inverter drives/ automotive system/ power generation/ energy storage/ AC and DC motors, 27/08/22, https://www.linkedin.com/jobs/view/3223962599/?alternateChannel=search&refId=h3A5O%2FjIKNZPhcC%2FlOH12A%3D%3D&trackingId=RWsRMSRnExUV9PNhOAfn5w%3D%3D&trk=d_flagship3_search_srp_jobs&lipi=urn%3Ali%3Apage%3Ad_flagship3_search_srp_jobs%3BQIkBtn8oQzSm65Jj9n8FtA%3D%3D&lici=RWsRMSRnExUV9PNhOAfn5w%3D%3D
Entwicklungsassistent:in Inverter, SMA Solar Technology AG, Alemanha, junior, inverter, automated tests/ inverters/ communication products/ mobile apps/ HiL systems/ simulators/ emulators/ JIRA/ mobile devices/ IoT systems/ data networks, 27/08/22, https://www.linkedin.com/jobs/view/3208837356/?alternateChannel=search&refId=h3A5O%2FjIKNZPhcC%2FlOH12A%3D%3D&trackingId=nVyXhtKhEmHAuuIIUmGjGQ%3D%3D&trk=d_flagship3_search_srp_jobs&lipi=urn%3Ali%3Apage%3Ad_flagship3_search_srp_jobs%3BQIkBtn8oQzSm65Jj9n8FtA%3D%3D&lici=nVyXhtKhEmHAuuIIUmGjGQ%3D%3D
Hardwareentwickler (m/w/d) elektrische Antriebssysteme / Inverter, invenio, Alemanha, assistent, inverter, hardware architecture/ Creation/ adaptation and optimization of electronic circuits (circuit diagrams/ component selection/ tolerance and thermal considerations/ simulation/ documentation/ PCB layout/ validation of the hardware/ PCB layout/ Matlab/ electrical drive/ automotive norms, 27/08/22, https://www.linkedin.com/jobs/view/3208811397/?alternateChannel=search&refId=h3A5O%2FjIKNZPhcC%2FlOH12A%3D%3D&trackingId=BYJb8yUyVmG32%2B7zMfogzQ%3D%3D&trk=d_flagship3_search_srp_jobs&lipi=urn%3Ali%3Apage%3Ad_flagship3_search_srp_jobs%3BQIkBtn8oQzSm65Jj9n8FtA%3D%3D
Software Developer Power Electronics, Siemens, Alemanha, junior, power electronics, Power Electronics Hardware/ Control/ Automated tests/ Continuous Integration/ Hardware-In-The-Loop/Agile/Git and SVN/ C for embeded real-time software/ Python/ Powershell/ bash/ digital signal processing,22/08/22, https://www.linkedin.com/jobs/view/3229523930/?alternateChannel=search&refId=jLyzmVPgnbiSHNxvnm8hcA%3D%3D&trackingId=8UciM1x792FsiaIVpPnCVQ%3D%3D&trk=d_flagship3_search_srp_jobs&lipi=urn%3Ali%3Apage%3Ad_flagship3_search_srp_jobs%3Bd7RbBCSNRAWTqbF0g%2BxNWg%3D%3D 
Power Electronics Design Engineer, Lilium, Alemanha, junior, power electronics, Electronic hardware design/product development lifecycle according to RTCA/DO-254/design of power electronics hardware/aviation specific standards (DO-254/ DO-160)/motor drive applications/system power distribution design/ battery management systems/ PCB layout/embedded software,22/08/22, https://www.linkedin.com/jobs/view/2989135658/?alternateChannel=search&refId=iyzIR6Iv0AZLtkgzNiTd%2Fg%3D%3D&trackingId=RYH7QGDM22HsXtQ9pES86w%3D%3D&trk=d_flagship3_search_srp_jobs&lipi=urn%3Ali%3Apage%3Ad_flagship3_search_srp_jobs%3Bd7RbBCSNRAWTqbF0g%2BxNWg%3D%3D
Power Electronics Engineer, PRE Power Developers, Paises Baixos, junior, power electronics, design circuit diagrams/circuit board layouts/build prototypes/ accelerated life testing/ power electronics knowledge/safety standards for CE and/or UL/Altium Designer/simulation, 22/08/22, https://www.linkedin.com/jobs/view/3134170635/?alternateChannel=search&refId=XDTX3r81U0%2F9BWjKFiiIyw%3D%3D&trackingId=we1aSH0IVbZ96YLvyrAzQg%3D%3D&trk=d_flagship3_search_srp_jobs&lipi=urn%3Ali%3Apage%3Ad_flagship3_search_srp_jobs%3Bd7RbBCSNRAWTqbF0g%2BxNWg%3D%3D
HV electronics developer racing, AUDI AG, Alemanha, junior, power electronics, power electronics for e-drive systems/high-voltage batteries/ DC/DC converters/ Fault diagnosis/test bench trials/HV safety/ power modules and their design/electronic design, 22/08/22, https://www.linkedin.com/jobs/view/3195513067/?alternateChannel=search&refId=XDTX3r81U0%2F9BWjKFiiIyw%3D%3D&trackingId=n0ujiTiqK3QubjCQcYgzJw%3D%3D&trk=d_flagship3_search_srp_jobs&lipi=urn%3Ali%3Apage%3Ad_flagship3_search_srp_jobs%3Bd7RbBCSNRAWTqbF0g%2BxNWg%3D%3D
EMC Specialist Power Electronics, Viessmann, Alemanha, junior, power electronics, hardware and function of converters/  EMC requirements for power electronic components/PV/battery inverters/electrical drive,22/08/22, https://www.linkedin.com/jobs/view/3228241731/?alternateChannel=search&refId=ErEImV1sjvgSLXOatEKY3A%3D%3D&trackingId=EHFF6jMW2bmLjj34A1A0BA%3D%3D&trk=d_flagship3_search_srp_jobs&lipi=urn%3Ali%3Apage%3Ad_flagship3_search_srp_jobs%3Bd7RbBCSNRAWTqbF0g%2BxNWg%3D%3D
